"Program Studi","Konsentrasi/Jalur","Semester","Nama Mata Kuliah","SKS"
"D3 Teknik Informatika","Reguler","Semester 1","Implementasi Algoritma",4
"D3 Teknik Informatika","Reguler","Semester 1","Dasar Sistem Komputer",3
"D3 Teknik Informatika","Reguler","Semester 1","Matematika Informatika 1",3
"D3 Teknik Informatika","Reguler","Semester 1","Bahasa Indonesia",2
"D3 Teknik Informatika","Reguler","Semester 1","Alat Bantu Gambar Digital untuk Antarmuka Aplikasi",3
"D3 Teknik Informatika","Reguler","Semester 1","Pancasila",2
"D3 Teknik Informatika","Reguler","Semester 1","Pembentukan Karakter HEI",1
"D3 Teknik Informatika","Reguler","Semester 2","Implementasi Struktur Data",4
"D3 Teknik Informatika","Reguler","Semester 2","Pemrograman Berbasis Web 1",4
"D3 Teknik Informatika","Reguler","Semester 2","Analisis Kebutuhan dan Pemodelan Perangkat Lunak",3
"D3 Teknik Informatika","Reguler","Semester 2","Matematika Informatika 2",3
"D3 Teknik Informatika","Reguler","Semester 2","Sistem Basis Data 1",4
"D3 Teknik Informatika","Reguler","Semester 2","Proyek Tingkat 1 (Aplikasi Web)",2
"D3 Teknik Informatika","Reguler","Semester 3","Instalasi Jaringan Komputer",4
"D3 Teknik Informatika","Reguler","Semester 3","Pemrograman Berbasis Web 2",4
"D3 Teknik Informatika","Reguler","Semester 3","Pemrograman Berorientasi Objek",4
"D3 Teknik Informatika","Reguler","Semester 3","Desain Perangkat Lunak",3
"D3 Teknik Informatika","Reguler","Semester 3","Kewarganegaraan",2
"D3 Teknik Informatika","Reguler","Semester 3","Pendidikan Agama dan Etika",2
"D3 Teknik Informatika","Reguler","Semester 4","Kewirausahaan",2
"D3 Teknik Informatika","Reguler","Semester 4","Pemrograman untuk Perangkat Bergerak 1",4
"D3 Teknik Informatika","Reguler","Semester 4","Sistem Basis Data 2",4
"D3 Teknik Informatika","Reguler","Semester 4","Pengantar Pengembangan Aplikasi Permainan (Game)",2
"D3 Teknik Informatika","Reguler","Semester 4","Bahasa Inggris 1",2
"D3 Teknik Informatika","Reguler","Semester 4","Olahraga (Pendidikan Jasmani dan Kesehatan)",2
"D3 Teknik Informatika","Reguler","Semester 4","Proyek Tingkat II (Aplikasi Desktop / Bergerak)",2
"D3 Teknik Informatika","Reguler","Semester 5","Pengembangan Profesionalisme",2
"D3 Teknik Informatika","Reguler","Semester 5","Pemrograman untuk Perangkat Bergerak 2",4
"D3 Teknik Informatika","Reguler","Semester 5","Pemrograman Berbasis Sensor",4
"D3 Teknik Informatika","Reguler","Semester 5","Multimedia Terapan",3
"D3 Teknik Informatika","Reguler","Semester 5","Validasi dan Verifikasi Perangkat Lunak (Pengujian Perangkat Lunak)",3
"D3 Teknik Informatika","Reguler","Semester 5","Manajemen Proyek IT (Pembangunan Perangkat Lunak)",3
"D3 Teknik Informatika","Reguler","Semester 6","Proyek Tingkat 3",4
"D3 Teknik Informatika","Reguler","Semester 6","Magang",12
"D3 Sistem Informasi","Reguler","Semester 1","Algoritma dan Pemrograman Komputer",4
